	Article Title	Description	Coding	Movie
70	“Saltburn” Is a “Brideshead” for the Incel Age	Richard Brody reviews the film “Saltburn,” directed by Emerald Fennell and starring Barry Keoghan and Jacob Elordi, about class tensions at an English estate.	Movie production	Saltburn
71	THE MARVELS Officially Set For Lowest Domestic Opening In MCU History	The numbers are in, and with a $47 million to $52 million start, The Marvels looks set to have the lowest domestic opening weekend of any Marvel Studios movie...	Performance	The Marvels
72	The week in film: Thanksgiving's gory feast, and what's wrong with Marvel	Horror fans have been waiting more than a decade for Thanksgiving, director Eli Roth’s holiday slasher about a killer in a pilgrim mask terrorizing a small Massachusetts town. Ever since Roth’s fake trailer for the film showed up in Quentin Tarantino and Robe…	Movie production	Thanksgiving
73	The Best Bang for Your Buck Events in Portland This Weekend: Nov 3–5, 2023	Legendary Makers Market, Diwali Festival, and More Cheap & Easy Events Under $15	Unrelated	Not relevant
74	Sad! Lana Del Rey couldn’t find any time for the Priscilla soundtrack	Director Sofia Coppola expressed interest in Del Rey featuring on the film’s soundtrack, but scheduling conflicts robbed us of a masterpiece	Movie production	Priscilla
75	The Best Bang for Your Buck Events in Seattle This Weekend: Nov 10–12, 2023	Diwali: Lights of India, Station Space Grand Opening, and More Cheap & Easy Events Under $15	Unrelated	Not relevant
76	‘Saltburn’ Composer Anthony Willis On Emerald Fennell’s “Dirty Sense” And Templar Knights – Sound & Screen Film	It wasn’t a tough decision for Anthony Willis when Emerald Fennell asked him to compose Saltburn, the drama that stars Barry Keoghan as a young and nerdy Oxford university student who becomes obsessed with a popular and wealthy student (Jacob Elordi). Willis …	Movie production	Saltburn
77	The Holdovers Is a Cozy ’70s Throwback With One Big Difference	Paul Giamatti invests his withering remarks with a French pastry’s worth of layers.	Actor & Director	The Holdovers
78	Why the ‘Priscilla’ Costume Designer Made Lingerie Timelines for the Movie’s Most Intimate Scenes	She sourced over 120 outfits for the movie's lead actress, and each piece had to tell a part of the story.	Movie production	Priscilla
79	The daily gossip: 'The Marvels' bombs with worst MCU opening ever, Chris Pratt's Garfield voice revealed, and more	Today's top entertainment and celebrity news	Performance	The Marvels
80	Iconic Directors: The 5 Best Alexander Payne Movies	Ever since I first saw the dark comedy Election in 1999, I’ve followed Alexander Payne closely through the highs of About Schmidt and Sideways to the lows of Downsizing. He’s a fantastic writer and director who tells captivating human stories packed with comp…	Actor & Director	The Holdovers
81	Eli Roth gets back to the bloody basics with Thanksgiving	There’s a correct method to jamming two corncob holders into a teenager’s ears for maximum terror. Eli Roth has known the way since he was a kid in Massachusetts, shooting horror movies in his backyard and coming up with kills that would eventually find their…	Positive review	Thanksgiving
82	Rosamund Pike Calls ‘Saltburn’ a “Delicious” Movie, Talks SAG Strike and More	The actress was glad to chat with Observer about 'Saltburn', a riotous new film from 'Promising Young Woman' filmmaker Emerald Fennell.	Actor & Director	Saltburn
83	Da'Vine Joy Randolph is an Oscar frontrunner for 'The Holdovers'	She joins Paul Giamatti and Dominic Sessa in the bittersweet, 1970-set film.	Positive review	The Holdovers
84	'Priscilla' star Cailee Spaeny hasn't seen 'Elvis' yet. Here's why	"Actor Cailee Spaeny hasn't seen Baz Luhrmann's 2022 film ""Elvis."" She speaks about preparing to play Priscilla and why it didn't involve an Elvis Presley biopic."	Actor & Director	Priscilla
85	Emerald Fennell: ‘You always hope to tease something open and stick your finger in’	The ‘Saltburn’ director on bringing sexy back and playing dress-up with Academy Awards	Movie production	Saltburn
86	‘The Holdovers’ is Payne’s paean to all the lonely people	Paul Giamatti, Dominic Sessa, and Da’Vine Joy Randolph shine in this story of three shipwrecked souls at a Western Mass. prep school.	Movie production	The Holdovers
87	THE MARVELS Star Brie Larson Thanks Fans For Their Support; New Posters Released	Now that the strikes are over, actors are allowed to promote their projects, and The Marvels star Brie Larson has taken to social media to thank fans for showing their support...	Actor & Director	The Marvels
88	‘Thanksgiving’ Director Eli Roth Says His Film’s Real Villain Is Black Friday	Thanksgiving director Eli Roth says the real villain of his new holiday slasher film is aggressive Black Friday consumerism. The horror movie inspired by the ... Read More	Movie production	Thanksgiving
89	Saltburn Clip: Barry Keoghan Meets Jacob Elordi’s Eccentric Rich Family	A brand new Saltburn clip from Emerald Fennell‘s next directorial feature has been revealed, featuring the film’s all-star ensemble cast. The black comedy thriller serves as a reunion project between Carey Mulligan and Rosamund Pike, who previously played sis…	Movie production	Saltburn
90	Review: 'Hunger Games: The Ballad of Songbirds & Snakes' feels rushed on its way to fascism	Directed by franchise vet Francis Lawrence, the Katniss-free prequel to the dystopian saga launches the back story of Coriolanus Snow, here played by Tom Blyth.	Backlash	THG
91	No Elvis Songs? No Problem. 10 ‘Priscilla’ Tracks That Define Sofia Coppola’s Movie	Music supervisors Randall Poster and Thomas Mars break down some of the key musical moments and the creative decisions behind them.	Movie production	Priscilla
92	Alexander Payne Talks ‘The Holdovers,’ Paul Giamatti Being The “Greatest Actor” And Teases Future Western & French Language Projects — Thessaloniki	Born in Omaha, Nebraska, to two parents of Greek heritage, two-time Oscar winner Alexander Payne was awarded Greek citizenship last year around the time he was working on his latest feature, The Holdovers.  In line with the honor, Payne has returned to his ad…	Actor & Director	The Holdovers
93	Sympathy for the Schoolgirl	Molly Fischer on Sofia Coppola’s “Priscilla,” about Presley’s life and Elvis’s unsettling relationship with her. The film is based on her memoir, “Elvis and Me.”	Movie production	Priscilla
94	Margot Robbie loses voice at her first premiere since US actors’ strike	Margot Robbie used hand gestures to explain she had lost her voice and could not be interviewed at her first red carpet premiere since the start of the US actors’ strike in July.	Unrelated	Not relevant
95	With ‘The Holdovers,’ Alexander Payne Faces His Admirers	The Holdovers is shaping into one of the most acclaimed movies in Alexander Payne’s filmography, and there are all sorts of reasons for that. There’s the crackling script by David Hemingson, which Payne commissioned after being sent a pilot by the screenwrite…	Positive review	The Holdovers
96	‘Thanksgiving’: How Eli Roth made the most Massachusetts horror movie ever	From pilgrims to Papa Gino’s, the director talks giving the Bay State a starring role in his Plymouth-set slasher flick.	Movie production	Thanksgiving
97	Fincher! Scorsese! Coppola! There Are So Many Good Movies Out Right Now	paramount/a24/netflix	Unrelated	Not relevant
98	How The Ballad Of Songbirds And Snakes Makes You Root For The Bad Guy [Exclusive]	Coriolanus Snow was the over-arching villain of The Hunger Games, but The Ballad of Songbirds and Snakes reveals he&amp;#39;s no stranger to hunger himself.	Movie production	THG
99	5 great holiday-themed horror movies like Eli Roth’s Thanksgiving	Deck the halls with ... murder! After watching Eli Roth's Thanksgiving, check out these great holiday horror movies that you'll also love.	Unrelated	Not relevant
100	Marvel Series Reaches Low Point	Since 2008's Iron Man , the Marvel machine has been one of the most unstoppable forces in box office history. Now that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of The Marvels , which …	Backlash	The Marvels
101	Every Hunger Games Movie Ranked	We put all five Hunger Games movies in one horrible arena and let them battle it out for this ranking. May the odds be in your favor.	Performance	THG
102	What's Making Us Happy: A guide to your weekend viewing, reading, and listening	Each week, guests and hosts on NPR's Pop Culture Happy Hour share what's bringing them joy. This week: Sampha's album Lahai, the film Tori and Lokita, rewatching Doctor Who, and the Phillies, sort of.	Unrelated	Not relevant
103	‘Adamtine’ – Horror Graphic Novel from Hannah Berry Getting a Movie Adaptation	The next graphic novel to make the leap to the screen is Hannah Berry’s Adamtine, with Deadline reporting this morning that Wiip will be turning the graphic novel into a film. Mark Roybal (“Mare of Easttown”) will produce the upcoming horror movie alongside w…	Unrelated	Not relevant
104	‘Priscilla’, ‘The Holdovers’ Expand Nicely; ‘Dream Scenario’ With Nicolas Cage Sees Solid Limited Opening – Specialty Box Office	Festival and specialty fare releases crowded the top ten this weekend with Priscilla (A24) and The Holdovers (Focus Features) expanding to hit nos. 4 and 6 respectively. Yash Raj Films’ Bollywood thriller Tiger 3 is at no. 8, and world of mouth continued to b…	Movie production	Priscilla
105	Terror Vision Trio ‘Attack of the Killer Refrigerator’, ‘Days Before Christmas’, & ‘Hook of Woodland Heights’ Join SCREAMBOX!	After arriving on Blu-ray earlier this year, SCREAMBOX is now streaming a trio of iconic SOV films from Michael Savino and Mark Veau, all featuring brand-new transfers from the original tape masters, courtesy of Terror Vision. Click on over to SCREAMBOX to ch…	Unrelated	Not relevant
106	Chanel’s Plans to Support MoMA’s Films, AirMail Touches Down in London	Plus, more fashion parties, store openings and collaborations.	Unrelated	Not relevant
107	Brie Larson Shares New Behind the Scenes Pictures to Celebrate the Release of The Marvels	Brie Larson showcased her fellow cast and crew in a new Instagram post to mark the release of the film.	Actor & Director	The Marvels
108	Review: For 'Thanksgiving,' Eli Roth serves up a feature-length feast of gore, some of it stale	"Expanding on his fake trailer from ""Grindhouse,"" the director returns to a subgenre he knows well, the high-school slasher, with perfunctory, uneven results."	Movie production	Thanksgiving
109	Rosamund Pike Went Stir Crazy Living in the ‘Saltburn’ House	But she swears it was a good thing. The actress spoke to Cosmopolitan about the real people she based her character on and how she and Jacob Elordi created that mother-son rapport.	Movie production	Saltburn
110	Why Haymitch & Finnick Prequel Movies Haven’t Happened Yet Explained By Hunger Games Director	The Hunger Games: The Ballad of Songbirds and Snakes director Francis Lawrence addresses why Haymitch and Finnick's movies have not happened yet.	Movie production	THG
111	The worst Marvel movie yet is also the cringiest	The 33rd film in the Marvel movie series was just released, and it scored the lowest opening in its history.	Performance	The Marvels
112	Prep-School Drama The Holdovers Gives Off a Fake Warmth	The problem isn’t what happens in 'The Holdovers'; it’s how Alexander Payne, often lauded as a filmmaker of sharp, dry wit, with a keen eye for the spiky side of human nature, comes at the material.	Backlash	The Holdovers
113	Will there be a ‘Thanksgiving 2′? Eli Roth talks sequel plans	The director opens up about his hopes for future installments in the Massachusetts-set horror franchise.	Movie production	Thanksgiving
114	Jacob Elordi Ate “A Pound of Bacon a Day” to Play Elvis Presley in Sofia Coppola’s Priscilla	The actor took inspiration from Elvis' favorite sandwich, the Fool's Gold Loaf.	Actor & Director	Priscilla
115	Barry Keoghan says he wants new challenge as he takes on first top role	It comes after images were released of dad-of-one Barry in Saltburn – his first leading role	Actor & Director	Saltburn
116	The Marvels has had the MCU's worst opening weekend at the box office. What went wrong?	Marvel Cinematic Universe's latest movie instalment, The Marvels, has had a disappointing opening weekend at the box office, recording $US47 million in sales in the US — the lowest amount the comic book franchise has recorded to date.	Performance	The Marvels
117	Review: SALTBURN, Titilation of Flesh, Nothing More	Emerald Fennell's new film stars Barry Keogan, Jacob Elodi and Rosamund Pike.	Backlash	Saltburn
118	Link Tank: Five Nights at Freddy’s Dominates Halloween Box Office	Five Nights at Freddy’s scares up the largest opening weekend ever for a live-action video game adaptation, surpassing the likes of the Sonic the Hedgehog movies. “Five Nights at Freddy’s tops the box office weekend with a global total of $130 million USD. Ea…	Unrelated	Not relevant
119	Saltburn’s Jacob Elordi and Barry Keoghan leaning in for kiss at premiere sends fans into meltdown	Jacob Elordi and Barry Keoghan have got the internet hot under the collective collar after they jokingly leaned in for a kiss during the premiere of their new film, Saltburn. Saltburn follows 26-year-old Priscilla star Jacob Elordi as Felix Catton, a member o…	Actor & Director	Saltburn
120	‘Sideways’ team reunites for ‘The Holdovers’	It took 10 years but with “The Holdovers,” Paul Giamatti and director Alexander Payne reunite for the first time since the Oscar-winning “Sideways.”	Actor & Director	The Holdovers
121	Thanksgiving Review: Eli Roth's Throwback Slasher Is A Bloody Feast For Horror Fans	The new slasher movie from director Eli Roth is gory and funny and a good time for seasoned and novice horror fans alike.	Positive review	Thanksgiving
122	The Holdovers isn’t a period film—or so Alexander Payne tells himself	Christmas is coming early for cinephiles this year. The Holdovers, the long-awaited reteaming of classic comedy duo Paul Giamatti and Alexander Payne, rolls out in theaters nationwide on November 10, following a limited release at the end of October. Payne’s …	Movie production	The Holdovers
123	MOVIES: What came before the Hunger Games; can soccer's big losers turn things around and what about the Rolling Stones?	Also a scathing look at North Korea and animated fun with Adam Sandler	Unrelated	Not relevant
124	Can Paul Giamatti Finally Get Nominated for Best Actor?	Paul Giamatti’s reunion with director Alexander Payne on ‘The Holdovers’ offers the Academy the chance to make up for snubbing him in Best Actor for ‘Sideways’ in 2005.	Movie production	The Holdovers
125	Marvel Just Had Its Worst Box-Office Weekend Ever. What Happened?	The most dominant franchise in the history of movies has taken its first major spill.	Backlash	The Marvels
126	Review: ‘The Hunger Games: The Ballad of Songbirds & Snakes’ is a prequel for pre-sold fans only	Like its title, the film takes its sweet time getting where it’s going, writes critic Michael Philips.	Backlash	THG
127	Rachel Zegler Replaces Failing ‘Snow White’ Role With New Character	Did Rachel Zegler make the same mistake twice? Let’s find out. Rachel Zegler has been a budding star in Hollywood and cannot seem to stop booking leading roles in some of the year’s (and following years) most anticipated films. If you’ve been keeping up with …	Actor & Director	THG
128	Pop Culture Fix: Brandi Carlile Wants a Lesbian “Golden Girls” (We Deserve)	"Meg Stalter remixes ""Silk Chiffon"" in front of MUNA, Tracy Chapman won a Country Music Award for ""Fast Car"" 35 years after its first release, and Marlon Wayans loves his trans kid. "	Unrelated	Not relevant
129	The post Review: ‘The Holdovers’ doesn’t shy away from life’s complexities appeared first on Digital Journal.	‘The Holdovers’ follows an unlikely group forced to spend the holidays together	Movie production	The Holdovers
130	Priscilla Review: A Heartbreaking Biopic	Sofia Coppola has made a name for herself as a director with a unique and distinct voice. Her films, such as Lost in Translation and The Virgin Suicides, are known for their dreamlike atmospheres and intricate character studies. Coppola once again showcases h…	Positive review	Priscilla
131	Watch ‘The Hunger Games: Ballad of Songbirds & Snakes’ Cast Quiz Each Other	What is Tom Blyth’s ironic biggest fear, and which surprising call did Rachel Zegler make at the Academy Awards?	Actor & Director	THG
132	“Goosebumps” Second Half Review – New TV Series Proves These Stories Still Have Life Left in Them	Like so many of the broader Goosebumps series’ nightmarish affairs, the back half of the new Goosebumps show belongs to Slappy. It all seemed to begin in the early 1990s when young Harold Biddle was caught in a fiery inferno. As he burned, a group of teenager…	Unrelated	Not relevant
133	'The Marvels' has a far from marvelous N.America opening	"LOS ANGELES - New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normally money-cranking Marvel Cinematic Universe."	Backlash	The Marvels
134	‘Hunger Games: The Ballad of Songbirds and Snakes’ Director Explains ‘Hanging Tree’ Connection	Francis Lawrence and producer Nina Jacobson tell TheWrap about the prequel's big callback to the original films	Movie production	THG
